Search_Term,CleanedDrugName,PrimaryDirectorate
chronic lymphocytic leukaemia,ACALABRUTINIB|BENDAMUSTINE|DUVELISIB|IBRUTINIB|IDELALISIB|OBINUTUZUMAB|OFATUMUMAB|RITUXIMAB|VENETOCLAX,CLINICAL HAEMATOLOGY
chronic myeloid leukaemia,ASCIMINIB|BOSUTINIB|STANDARD-DOSE|DASATINIB|DASITINIB|NILOTINIB|PONATINIB,CLINICAL HAEMATOLOGY
chronic obstructive pulmonary disease,ROFLUMILAST,THORACIC MEDICINE
colon cancer,CAPECITABINE,MEDICAL ONCOLOGY
colorectal cancer,BEVACIZUMAB|CAPECITABINE|IRINOTECAN,MEDICAL ONCOLOGY
constipation,LUBIPROSTONE|METHYLNALTREXONE|NALDEMEDINE|NALOXEGOL|PRUCALOPRIDE,GASTROENTEROLOGY
covid-19,NIRMATRELVIR,INFECTIOUS DISEASES
crohn's disease,INFLIXIMAB|VEDOLIZUMAB,GASTROENTEROLOGY
cutaneous t-cell lymphoma,BRENTUXIMAB|CHLORMETHINE,CLINICAL HAEMATOLOGY
cystic fibrosis,COLISTIMETHATE|LUMACAFTOR|MANNITOL,THORACIC MEDICINE
cytomegalovirus,LETERMOVIR|MARIBAVIR,INFECTIOUS DISEASES
deep vein thrombosis,APIXABAN|DABIGATRAN|EDOXABAN|RIVAROXABAN,VASCULAR SURGERY
depression,ESKETAMINE,MENTAL HEALTH
diabetes,ERTUGLIFLOZIN|INHALED|AFLIBERCEPT|BROLUCIZUMAB|DEXAMETHASONE|FARICIMAB|FLUOCINOLONE|RANIBIZUMAB,DIABETIC MEDICINE
diabetes,ERTUGLIFLOZIN|INHALED|AFLIBERCEPT|BROLUCIZUMAB|DEXAMETHASONE|FARICIMAB|FLUOCINOLONE|RANIBIZUMAB,OPHTHALMOLOGY
diabetic retinopathy,RANIBUZIMAB,OPHTHALMOLOGY
diffuse large b-cell lymphoma,AXICABTAGENE|POLATUZUMAB|TISAGENLECLEUCEL,CLINICAL HAEMATOLOGY
dravet syndrome,CANNABIDIOL|FENFLURAMINE,NEUROLOGY
drug misuse,BUPRENORPHINE|NALTREXONE,MENTAL HEALTH
dry eye,CICLOSPORIN,OPHTHALMOLOGY
dyspepsia,LANSOPRAZOLE,GASTROENTEROLOGY
endometrial cancer,DOSTARLIMAB,MEDICAL ONCOLOGY
epilepsy,CENOBAMATE|GABAPENTIN|RETIGABINE,NEUROLOGY
fallopian tube,BEVACIZUMAB|NIRAPARIB|OLAPARIB|RUCAPARIB,MEDICAL ONCOLOGY
follicular lymphoma,DUVELISIB|IDELALISIB|LENALIDOMIDE|OBINUTUZUMAB|RITUXIMAB|TISAGENLECLEUCEL,CLINICAL HAEMATOLOGY
gastric cancer,CAPECITABINE|RAMUCIRUMAB|TRASTUZUMAB|TRIFLURIDINE,MEDICAL ONCOLOGY
gastro-oesophageal junction,NIVOLUMAB|PEMBROLIZUMAB,MEDICAL ONCOLOGY
giant cell arteritis,TOCILIZUMAB,RHEUMATOLOGY
glioma,CARMUSTINE,MEDICAL ONCOLOGY
gout,CANAKINUMAB|FEBUXOSTAT|LESINURAD,RHEUMATOLOGY
graft versus host disease,RUXOLITINIB,CLINICAL HAEMATOLOGY
granulomatosis with polyangiitis,AVACOPAN|MEPOLIZUMAB,RHEUMATOLOGY
growth hormone deficiency,SOMATROPIN,ENDOCRINOLOGY
hand eczema,ALITRETINOIN,DERMATOLOGY
heart failure,DAPAGLIFLOZIN|EMPAGLIFLOZIN|IVABRADINE|SACUBITRIL|VERICIGUAT,CARDIOLOGY
hepatitis b,ADEFOVIR,GASTROENTEROLOGY
hepatitis c,BOCEPREVIR|DACLATASVIR|ELBASVIR|GLECAPREVIR|INTERFERON|LEDIPASVIR|OMBITASVIR|PEGINTERFERON|PEGYLATED|SIMEPREVIR|SOFOSBUVIR|TELAPREVIR,GASTROENTEROLOGY
hepatocellular carcinoma,ATEZOLIZUMAB|CABOZANTINIB|LENVATINIB|RAMUCIRUMAB|REGORAFENIB|SELECTIVE|SORAFENIB,MEDICAL ONCOLOGY
hiv,CABOTEGRAVIR,INFECTIOUS DISEASES
hodgkin lymphoma,BRENTUXIMAB|NIVOLUMAB|PEMBROLIZUMAB,CLINICAL HAEMATOLOGY
hormone receptor,ABEMACICLIB,MEDICAL ONCOLOGY
hypercholesterolaemia,EZETIMIBE,CARDIOLOGY
hyperparathyroidism,CINACALCET|ETELCALCETIDE,ENDOCRINOLOGY
immune thrombocytopenia,AVATROMBOPAG|FOSTAMATINIB,CLINICAL HAEMATOLOGY
influenza,AMANTADINE|ZANAMIVIR|BALOXAVIR,INFECTIOUS DISEASES
insomnia,ZALEPLON,NEUROLOGY
irritable bowel syndrome,ELUXADOLINE,GASTROENTEROLOGY
ischaemic stroke,ALTEPLASE,STROKE MEDICINE
juvenile idiopathic arthritis,ABATECEPT|CANAKINUMAB|TOCILIZUMAB|TOFACITINIB,RHEUMATOLOGY
kidney transplant,BASILIXIMAB,NEPHROLOGY
leukaemia,FLUDARABINE|IMATINIB,CLINICAL HAEMATOLOGY
lung cancer,ATEZOLIZUMAB|DURVALUMAB|GEFITINIB|ORAL|NINTEDANIB,MEDICAL ONCOLOGY
lymphoma,BENDAMUSTINE|CRIZOTINIB|PIXANTRONE|RITUXIMAB,CLINICAL HAEMATOLOGY
macular degeneration,AFLIBERCEPT|BROLUCIZUMAB|FARICIMAB|RANIBIZUMAB,OPHTHALMOLOGY
macular oedema,AFLIBERCEPT|RANIBIZUMAB,OPHTHALMOLOGY
major depressive episodes,AGOMELATINE|VORTIOXETINE,MENTAL HEALTH
malignant melanoma,VEMURAFENIB,MEDICAL ONCOLOGY
malignant pleural mesothelioma,NIVOLUMAB|PEMETREXED,MEDICAL ONCOLOGY
manic episode,ARIPIPRAZOLE,MENTAL HEALTH
mantle cell lymphoma,AUTOLOGOUS|BORTEZOMIB|IBRUTINIB|LENALIDOMIDE|TEMSIROLIMUS,CLINICAL HAEMATOLOGY
melanoma,COBIMETINIB|DABRAFENIB|ENCORAFENIB|IPILIMUMAB|NIVOLUMAB|PEMBROLIZUMAB|TALIMOGENE|TRAMETINIB,MEDICAL ONCOLOGY
merkel cell carcinoma,AVELUMAB,MEDICAL ONCOLOGY
migraine,BOTULINUM|EPTINEZUMAB|ERENUMAB|FREMANEZUMAB|GALCANEZUMAB,NEUROLOGY
motor neurone disease,RILUZOLE,NEUROLOGY
multiple myeloma,BORTEZOMIB|THALIDOMIDE|CARFILZOMIB|DARATUMUMAB|DENOSUMAB|ELOTUZUMAB|ISATUXIMAB|IXAZOMIB|LENALIDOMIDE|PANOBINOSTAT|POMALIDOMIDE|SELINEXOR|TECLISTAMAB,CLINICAL HAEMATOLOGY
multiple sclerosis,ALEMTUZUMAB|BETA|CLADRIBINE|DACLIZUMAB|DIMETHYL|DIROXIMEL|FINGOLIMOD|INTERFERON|NATALIZUMAB|OCRELIZUMAB|OZANIMOD|PEGINTERFERON|PONESIMOD|SIPONIMOD|TERIFLUNOMIDE,NEUROLOGY
myelodysplastic,LENALIDOMIDE|LUSPATERCEPT,CLINICAL HAEMATOLOGY
myelofibrosis,FEDRATINIB|RUXOLITINIB,CLINICAL HAEMATOLOGY
myocardial infarction,ALTEPLASE|BIVALIRUDIN|TICAGRELOR,CARDIOLOGY
myotonia,MEXILETINE,NEUROLOGY
narcolepsy,SOLRIAMFETOL,NEUROLOGY
neuroendocrine tumour,EVEROLIMUS|LUTETIUM,MEDICAL ONCOLOGY
non-small cell lung cancer,ATEZOLIZMAB|DOCETAXEL|ERLOTINIB|PEMETREXED,MEDICAL ONCOLOGY
non-small-cell lung cancer,AFATINIB|ALECTINIB|AMIVANTAMAB|ATEZOLIZUMAB|BEVACIZUMAB|BRIGATINIB|CEMIPLIMAB|CERITINIB|CRIZOTINIB|DABRAFENIB|DACOMITINIB|DURVALUMAB|ENTRECTINIB|ERLOTINIB|GEFITINIB|LORLATINIB|MOBOCERTINIB|NECITUMUMAB|NIVOLUMAB|OSIMERTINIB|PACLITAXEL|PEMBROLIZUMAB|PEMETREXED|PRALSETINIB|RAMUCIRUMAB|SELPERCATINIB|SOTORASIB|TEPOTINIB,MEDICAL ONCOLOGY
obesity,LIRAGLUTIDE|NALTREXONE|ORLISTAT|SEMAGLUTIDE|SIBUTRAMINE,ENDOCRINOLOGY
oesophageal cancer,NIVOLUMAB,MEDICAL ONCOLOGY
osteoarthritis,CELECOXIB,RHEUMATOLOGY
osteoporosis,ALENDRONATE|DENOSUMAB|ORAL|ROMOSOZUMAB,RHEUMATOLOGY
osteosarcoma,MIFAMURTIDE,MEDICAL ONCOLOGY
ovarian cancer,BEVACIZUMAB|PACLITAXEL|PEGYLATED|TOPOTECAN|TRABECTEDIN,MEDICAL ONCOLOGY
overweight,RIMONABANT,ENDOCRINOLOGY
pancreatic cancer,GEMCITABINE|OLAPARIB|PACLITAXEL|PEGYLATED,MEDICAL ONCOLOGY
paroxysmal nocturnal haemoglobinuria,PEGCETACOPLAN|RAVULIZUMAB,CLINICAL HAEMATOLOGY
peripheral arterial disease,NAFTIDROFYRYL,VASCULAR SURGERY
plaque psoriasis,ADALIMUMAB|APREMILAST|BIMEKIZUMAB|BRODALUMAB|CERTOLIZUMAB|GUSELKUMAB|INFLIXIMAB|IXEKIZUMAB|RISANKIZUMAB|SECUKINUMAB|TILDRAKIZUAMB|USTEKINUMAB,DERMATOLOGY
polycystic kidney disease,TOLVAPTAN,NEPHROLOGY
polycythaemia vera,RUXOLITINIB,CLINICAL HAEMATOLOGY
pregnancy,ROUTINE,OBSTETRICS
primary biliary cholangitis,OBETICHOLIC,GASTROENTEROLOGY
primary hypercholesterolaemia,ALIROCUMAB|EVOLOCUMAB,CARDIOLOGY
prostate cancer,ABIRATERONE|APALUTAMIDE|CABAZITAXEL|DAROLUTAMIDE|DEGARELIX|DENOSUMAB|DOCETAXEL|ENZALUTAMIDE|OLAPARIB|PADELIPORFIN|RADIUM-|RADIUM|SIPULEUCEL-T,MEDICAL ONCOLOGY
psoriasis,EFALUZIMAB,DERMATOLOGY
psoriatic arthritis,ABATACEPT|ADALIMUMAB|APREMILAST|CERTOLIZUMAB|ETANERCEPT|GOLIMUMAB|GUSELKUMAB|IXEKIZUMAB|RISANKIZUMAB|TOFACITINIB|UPADACITINIB|USTEKINUMAB,RHEUMATOLOGY
pulmonary embolism,APIXABAN|DABIGATRAN|EDOXABAN|RIVAROXABAN,THORACIC MEDICINE
pulmonary fibrosis,NINTEDANIB|PIRFENIDONE,THORACIC MEDICINE
relapsing multiple sclerosis,OFATUMUMAB,NEUROLOGY
renal cell carcinoma,AVELUMAB|AXITINIB|BEVACIZUMAB|CABOZANTINIB|EVEROLIMUS|LENVATINIB|NIVOLUMAB|PAZOPANIB|PEMBROLIZUMAB|SUNITINIB|TIVOZANIB,MEDICAL ONCOLOGY
renal transplantation,BASILIXIMAB|INDUCTION,NEPHROLOGY
retinal vein occlusion,AFLIBERCEPT|DEXAMETHASONE|RANIBIZUMAB,OPHTHALMOLOGY
rheumatoid arthritis,ABATACEPT|ADALIMUMAB|ANAKINRA|BARICITINIB|CELECOXIB|CERTOLIZUMAB|ETANERCEPT|FILGOTINIB|GOLIMUMAB|RITUXIMAB|SARILUMAB|TOCILIZUMAB|TOFACITINIB|UPADACITINIB,RHEUMATOLOGY
rivaroxaban,ANDEXANET,CARDIOLOGY
schizophrenia,AMISULPRIDE|ARIPIPRAZOLE|LOXAPINE,MENTAL HEALTH
seizures,CANNABIDIOL,NEUROLOGY
sepsis,DROTRECOGIN,INFECTIOUS DISEASES
severe persistent allergic asthma,OMALIZUMAB,THORACIC MEDICINE
short bowel syndrome,TEDUGLUTIDE,GASTROENTEROLOGY
sickle cell disease,CRIZANLIZUMAB,CLINICAL HAEMATOLOGY
sleep apnoea,PITOLISANT|SOLRIAMFETOL,THORACIC MEDICINE
smoking cessation,NICOTINE|VARENICLINE,THORACIC MEDICINE
soft tissue sarcoma,INTRAVENOUS|NBTXR-|OLARATUMAB,MEDICAL ONCOLOGY
spinal muscular atrophy,NUSINERSEN|RISDIPLAM,NEUROLOGY
squamous cell,CETUXIMAB,MEDICAL ONCOLOGY
squamous cell carcinoma,CEMIPLIMAB|NIVOLUMAB|PEMBROLIZUMAB,MEDICAL ONCOLOGY
stem cell transplant,MELPHALAN|TREOSULFAN,CLINICAL HAEMATOLOGY
stroke,APIXABAN|DABIGATRAN|EDOXABAN|RIVAROXABAN,STROKE MEDICINE
systemic lupus erythematosus,ANIFROLUMAB|ETANERCEPT,RHEUMATOLOGY
systemic mastocytosis,MIDOSTAURIN,CLINICAL HAEMATOLOGY
thrombocytopenic purpura,ELTROMBOPAG|ROMIPLOSTIM,CLINICAL HAEMATOLOGY
thrombotic thrombocytopenic purpura,CAPLACIZUMAB,CLINICAL HAEMATOLOGY
thyroid cancer,CABOZANTINIB|LENVATINIB|SELPERCATINIB|VANDETANIB,MEDICAL ONCOLOGY
tophaceous gout,PEGLOTICASE,RHEUMATOLOGY
transitional cell carcinoma,VINFLUNINE,MEDICAL ONCOLOGY
tuberous sclerosis,CANNABIDIOL,NEUROLOGY
type 1 diabetes,CONTINUOUS|DAPAGLIFLOZIN|INSULIN|SOTAGLIFLOZIN,DIABETIC MEDICINE
type 2 diabetes,CANAGLIFLOZIN|CONTINUOUS|DAPAGLIFLOZIN|EMPAGLIFLOZIN|ERTUGLIFLOZIN|EXENATIDE|FINERENONE|INSULIN|LIRAGLUTIDE|PIOGLITAZONE|ROSIGLITAZONE,DIABETIC MEDICINE
ulcerative colitis,ADALIMUMAB|INFLIXIMAB|FILGOTINIB|OZANIMOD|TOFACITINIB|UPADACITINIB|USTEKINUMAB|VEDOLIZUMAB,GASTROENTEROLOGY
urothelial carcinoma,ATEZOLIZUMAB|PEMBROLIZUMAB,MEDICAL ONCOLOGY
urticaria,OMALIZUMAB,DERMATOLOGY
uterine fibroids,RELUGOLIX,GYNAECOLOGY
uveitis,ADALIMUMAB|FLUOCINOLONE,OPHTHALMOLOGY
vascular disease,MODIFIED-RELEASE|CLOPIDOGREL,VASCULAR SURGERY
vasculitis,RITUXIMAB,RHEUMATOLOGY
venous thromboembolism,APIXABAN|DABIGATRAN|RIVAROXABAN,CLINICAL HAEMATOLOGY
