Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
16,TA010,2000/01,MTA,Nebulised therapy,Other therapeutic therapies,Asthma (children under 5 years),Recommended,Recommendation in line with marketing authorisation.
17,TA010,2000/01,MTA,Pressurised metered dose inhalers (pMDI) and spacer system,Medical device,Asthma (children under 5 years),Recommended,Recommendation in line with marketing authorisation.
18,TA011,2000/01,MTA,Implantable cardioverter defibrillators (ICDs),Medical device,Arrhythmias,Recommended,Guidance has been replaced by TA95.  Recommendation in line with clinical practice.
19,TA012,2000/01,MTA,Abciximab (intravenous),Pharmaceutical,Acute coronary syndromes,Recommended,Guidance has been replaced by TA47. Recommendation in line with marketing authorisation.
20,TA012,2000/01,MTA,Eptifibatide (intravenous),Pharmaceutical,Acute coronary syndromes,Recommended,Guidance has been replaced by TA47. Recommendation in line with marketing authorisation.
21,TA012,2000/01,MTA,Tirofiban (intravenous),Pharmaceutical,Acute coronary syndromes,Recommended,Guidance has been replaced by TA47. Recommendation in line with marketing authorisation.
22,TA013,2000/01,MTA,Methylphenidate,Pharmaceutical,Attention-Deficit Hyperactivity Disorder,Recommended,Guidance has been replaced by TA98. Recommendation in line with marketing authorisation
23,TA014,2000/01,MTA,Interferon alpha,Pharmaceutical,Hepatitis C ,Recommended,Guidance has been replaced by TA75 & TA106. Recommendation in line with marketing authorisation.
24,TA014,2000/01,MTA,Ribavirin and interferon alpha combination therapy,Pharmaceutical,Hepatitis C ,Recommended,Guidance has been replaced by TA75 & TA106. Recommendation in line with marketing authorisation.
25,TA015,2000/01,MTA,Zanamivir,Pharmaceutical,Influenza,Recommended,Guidance has been replaced by TA58 and then TA168. Recommendation in line with national influenza guidelines.
26,TA016,2000/01,MTA,Autologous Cartilage Transplantation (ACT),Surgical procedure,Knee joints (defective),Only in Research,"Guidance has been replaced by TA89. At the time of appraisal it was recommended that ACT should only be performed as part of a properly structured clinical trial, which, wherever possible, is randomised and adequately powered."
27,TA017,2000/01,MTA,Laparoscopic surgery ,Surgical procedure,Colorectal cancer ,Only in Research,Guidance replaced by TA105. At the time of appraisal it was recommended that laparoscopic surgery for colorectal cancer should be limited to use in a randomised controlled trial setting.
28,TA018,2000/01,MTA,Laparoscopic surgery,Surgical procedure,Hernia,Recommended,Recommendation in line with clinical practice.
29,TA019,2000/01,MTA,Donepezil,Pharmaceutical,Alzheimer's disease,Optimised,Guidance has been replaced by TA111. Optimised recommendation for use in specific circumstances in people with Alzheimer’s disease whose mini mental state examination (MMSE) score is above 12 points at the start of treatment and remains at least this high after every 6 months of treatment.  
30,TA019,2000/01,MTA,Galantamine,Pharmaceutical,Alzheimer's disease,Optimised,Guidance has been replaced by TA111. Optimised recommendation for use in specific circumstances in people with Alzheimer’s disease whose mini mental state examination (MMSE) score is above 12 points at the start of treatment and remains at least this high after every 6 months of treatment. 
31,TA019,2000/01,MTA,Rivastigmine,Pharmaceutical,Alzheimer's disease,Optimised,Guidance has been replaced by TA111. Optimised recommendation for use in specific circumstances in people with Alzheimer’s disease whose mini mental state examination (MMSE) score is above 12 points at the start of treatment and remains at least this high after every 6 months of treatment. 
32,TA020,2000/01,MTA,Riluzole,Pharmaceutical,Motor neurone disease,Recommended,Recommendation in line with marketing authorisation.
33,TA021,2000/01,MTA,Pioglitazone,Pharmaceutical,Type 2 Diabetes,Recommended,Guidance has been replaced by TA63. Recommendation in line with marketing authorisation.
34,TA022,2000/01,MTA,Orlistat,Pharmaceutical,Obesity,Recommended,Guidance has been incorporated in CG43. Recommendation in line with marketing authorisation.
35,TA023,2001/02,MTA,Temozolomide,Pharmaceutical,Brain cancer (recurrent),Recommended,Recommendation in line with marketing authorisation. 
36,TA024,2001/02,MTA,Alginate dressings,Other therapeutic therapies,Wound care,Recommended,Guidance has been incorporated in CG74. Recommendation in line with clinical practice.
37,TA024,2001/02,MTA,Debriding agents - bio-surgical techniques (sterile maggots),Other therapeutic therapies,Wound care,Recommended,Guidance has been incorporated in CG74. Recommendation in line with clinical practice.
38,TA024,2001/02,MTA,Foam dressings,Other therapeutic therapies,Wound care,Recommended,Guidance has been incorporated in CG74. Recommendation in line with clinical practice.
39,TA024,2001/02,MTA,Hydrocolloids,Medical device,Wound care,Recommended,Guidance has been incorporated in CG74. Recommendation in line with clinical practice.
40,TA024,2001/02,MTA,Hydrogels,Medical device,Wound care,Recommended,Guidance has been incorporated in CG74. Recommendation in line with clinical practice.
41,TA024,2001/02,MTA,Polysaccharide beads/paste,Medical device,Wound care,Recommended,Guidance has been incorporated in CG74. Recommendation in line with clinical practice.
42,TA025,2001/02,MTA,Gemcitabine (1st line),Pharmaceutical,Pancreatic cancer ,Recommended,Recommended in line with clinical practice. 
43,TA025,2001/02,MTA,Gemcitabine (2nd line),Pharmaceutical,Pancreatic cancer ,Not Recommended,At the time of appraisal there was insufficient evidence to support the use of gemcitabine as a second-line treatment in patients with pancreatic adenocarcinoma.
44,TA026,2001/02,MTA,Docetaxel (2nd line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
45,TA026,2001/02,MTA,Gemcitabine (1st line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
46,TA026,2001/02,MTA,Paclitaxel (1st line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
47,TA026,2001/02,MTA,Vinorelbine (1st line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
48,TA027,2001/02,MTA,Celecoxib,Pharmaceutical,Osteoarthritis and rheumatoid arthritis,Optimised,Guidance has been incorporated in CG59 and CG79. Optimised recommendation for use in specific circumstances for people who may be at ‘high risk’ of developing serious gastrointestinal adverse effects. Guidance also highlighted uncertainty over the use of Cox II selective inhibitors in people with cardiovascular disease and indicated that they should not be prescribed routinely in preference to standard NSAIDs where these are indicated in this group of patients. 
49,TA027,2001/02,MTA,Etodolac,Pharmaceutical,Osteoarthritis and rheumatoid arthritis,Optimised,Guidance has been incorporated in CG59 and CG79. Optimised recommendation for use in specific circumstances for people who may be at ‘high risk’ of developing serious gastrointestinal adverse effects. Guidance also highlighted uncertainty over the use of Cox II selective inhibitors in people with cardiovascular disease and indicated that they should not be prescribed routinely in preference to standard NSAIDs where these are indicated in this group of patients.
50,TA027,2001/02,MTA,Meloxicam,Pharmaceutical,Osteoarthritis and rheumatoid arthritis,Optimised,Guidance has been incorporated in CG59 and CG79. Optimised recommendation for use in specific circumstances for people who may be at ‘high risk’ of developing serious gastrointestinal adverse effects. Guidance also highlighted uncertainty over the use of Cox II selective inhibitors in people with cardiovascular disease and indicated that they should not be prescribed routinely in preference to standard NSAIDs where these are indicated in this group of patients.
51,TA027,2001/02,MTA,Rofecoxib,Pharmaceutical,Osteoarthritis and rheumatoid arthritis,Optimised,Guidance has been incorporated in CG59 and CG79. Optimised recommendation for use in specific circumstances for people who may be at ‘high risk’ of developing serious gastrointestinal adverse effects. Guidance also highlighted uncertainty over the use of Cox II selective inhibitors in people with cardiovascular disease and indicated that they should not be prescribed routinely in preference to standard NSAIDs where these are indicated in this group of patients. Marketing authorisation for this technology was withdrawn by EMA after TA027 was published.
52,TA028,2001/02,MTA,Topotecan (2nd and subsequent lines of treatment),Pharmaceutical,Advanced ovarian cancer ,Recommended,Guidance has been replaced by TA91. Recommendation in line with marketing authorisation.
53,TA029,2001/02,MTA,Fludarabine -  Intravenous formulation (2nd line),Pharmaceutical,Leukaemia (B-cell chronic lymphocytic),Recommended,Recommendation in line with marketing authorisation.
54,TA029,2001/02,MTA,Fludarabine - Oral formulation (2nd line),Pharmaceutical,Leukaemia (B-cell chronic lymphocytic),Recommended,Recommendation in line with marketing authorisation.
55,TA030,2001/02,MTA,Docetaxel (2nd line),Pharmaceutical,Advanced breast cancer ,Recommended,Update of guidance TA6. Guidance has been incorporated in   CG81. Recommendation in line with marketing authorisation.
56,TA030,2001/02,MTA,Docetaxel in combination with an anthracycline (1st line),Pharmaceutical,Advanced breast cancer ,Not Recommended,"Update of guidance TA6. Guidance has been incorporated in CG81. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
57,TA030,2001/02,MTA,Paclitaxel (2nd line),Pharmaceutical,Advanced breast cancer ,Recommended,Update of guidance TA6. Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
58,TA031,2001/02,MTA,Sibutramine ,Pharmaceutical,Obesity,Recommended,Guidance has been incorporated in CG43. Recommendation in line with marketing authorisation.
59,TA032,2001/02,MTA,Beta interferon,Pharmaceutical,Multiple sclerosis,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available. Moved to static list."
60,TA032,2001/02,MTA,Glatiramer acetate,Pharmaceutical,Multiple sclerosis,Not Recommended,"At the time of appraisal, the technology was not considered to be a good use of NHS resources based on the data available. Moved to static list."
61,TA033,2001/02,MTA,Irinotecan in combination with 5-fluorouracil and folinic acid (5FU/FA) (1st-line),Pharmaceutical,Colorectal cancer (advanced),Not Recommended,"Guidance replaced by TA93. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
62,TA033,2001/02,MTA,Irinotecan monotherapy (2nd line),Pharmaceutical,Colorectal cancer (advanced),Recommended,Guidance replaced by TA93. Recommendation in line with marketing authorisation.
63,TA033,2001/02,MTA,Oxaliplatin in combination with 5-fluorouracil and folinic acid (5FU/FA) (1st-line),Pharmaceutical,Colorectal cancer (advanced),Optimised,Guidance has been replaced by TA93. Optimised recommendation for use in specific circumstances in patients with advanced colorectal cancer in patients with metastases that are confined solely to the liver and may become resectable (‘down staged’) following treatment. 
64,TA033,2001/02,MTA,Raltitrexed,Pharmaceutical,Colorectal cancer (advanced),Only in Research,"Guidance replaced by TA93. At the time of appraisal, the Committee concluded from the available evidence that the need for rigorous monitoring and possibility of increased mortality outweigh any benefits of convenience of administration with raltitrexed. Therefore the technology was only recommended for use in the context of appropriately designed clinical trials."
65,TA034,2001/02,MTA,Trastuzumab in combination with paclitaxel,Pharmaceutical,Breast cancer,Recommended,Recommendation in line with marketing authorisation.
66,TA034,2001/02,MTA,Trastuzumab monotherapy,Pharmaceutical,Breast cancer,Recommended,Recommendation in line with marketing authorisation.
67,TA035,2001/02,MTA,Etanercept ,Pharmaceutical,Arthritis (juvenile idiopathic),Recommended,Recommendation in line with marketing authorisation.
68,TA036,2001/02,MTA,Etanercept,Pharmaceutical,Rheumatoid arthritis,Optimised,"Guidance has been partially replaced by TA130 and TA195. Optimised recommendation for use under specific circumstances in people who have not responded adequately to at least two DMARDs, including methotrexate (unless contraindicated). "
69,TA036,2001/02,MTA,Infliximab in combination with methotrexate,Pharmaceutical,Rheumatoid arthritis,Optimised,"Guidance has been replaced by TA130. Optimised recommendation for use under specific circumstances in people who have not responded adequately to at least two DMARDs, including methotrexate (unless contraindicated)."
70,TA037,2001/02,MTA,Rituximab (3rd and subsequent lines of treatment),Pharmaceutical,Lymphoma (follicular non-Hodgkin's) ,Not recommended,"Guidance replaced by TA137.  At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
71,TA037,2001/02,MTA,Rituximab (last line),Pharmaceutical,Lymphoma (follicular non-Hodgkin's) ,Only in Research,"Guidance replaced by TA137. At the time of appraisal, the technology was only recommended for last-line therapy in the context of the construction of a case series of past and new patients, to determine with more certainty its effectiveness in this indication."
72,TA038,2001/02,MTA,Breath actuated pressurised metered dose aerosol inhalers,Medical device,Asthma (older children),Recommended,Recommendation in line with marketing authorisations.
73,TA038,2001/02,MTA,Dry powder inhalers (DPI),Medical device,Asthma (older children),Recommended,Recommendation in line with marketing authorisations.
74,TA038,2001/02,MTA,Pressurised metered dose inhalers (pMDIs),Medical device,Asthma (older children) ,Recommended,Recommendation in line with marketing authorisations.
75,TA039,2001/02,MTA,Nicotine replacement therapy (NRT) and bupropion in combination,Pharmaceutical,Smoking cessation,Recommended,Guidance has been incorporated in PH10. Recommendation in line with marketing authorisation. 
76,TA039,2001/02,MTA,Bupropion,Pharmaceutical,Smoking cessation,Recommended,Guidance has been incorporated in PH10. Recommendation in line with marketing authorisations. 
77,TA039,2001/02,MTA,Nicotine replacement therapy (NRT),Pharmaceutical,Smoking cessation,Recommended,Guidance has been incorporated in PH10. Recommendation in line with marketing authorisations. 
78,TA040,2002/03,MTA,Infliximab ,Pharmaceutical,Crohn's disease (active severe),Recommended,Recommendation in line with marketing authorisation.
79,TA040,2002/03,MTA,Infliximab ,Pharmaceutical,Crohn's disease (fistulising),Recommended,Recommendation in line with marketing authorisation.
80,TA041,2002/03,MTA,Routine antenatal anti-D prophylaxis (RAADP),Pharmaceutical,Pregnancy,Recommended,Guidance has been replaced by TA156. Recommendation in line with marketing authorisation and clinical practice. 
81,TA042,2002/03,MTA,Somatropin ,Pharmaceutical,Growth hormone deficiency (children),Recommended,Guidance has been replaced by TA188. Recommendation in line with marketing authorisation.
82,TA043,2002/03,MTA,Amisulpride,Pharmaceutical,Schizophrenia,Recommended,Guidance has been incorporated in CG82. Recommendation in line with marketing authorisation.
83,TA043,2002/03,MTA,Olanzapine,Pharmaceutical,Schizophrenia,Recommended,Guidance has been incorporated in  CG82. Recommendation in line with marketing authorisation.
84,TA043,2002/03,MTA,Quetiapine,Pharmaceutical,Schizophrenia,Recommended,Guidance has been incorporated in CG82. Recommendation in line with marketing authorisation.
85,TA043,2002/03,MTA,Risperidone,Pharmaceutical,Schizophrenia,Recommended,Guidance has been incorporated in CG82. Recommendation in line with marketing authorisation.
86,TA043,2002/03,MTA,Sertindole,Pharmaceutical,Schizophrenia,Recommended,Guidance has been incorporated in CG82. Recommendation in line with marketing authorisation.
87,TA043,2002/03,MTA,Zotepine,Pharmaceutical,Schizophrenia,Recommended,Guidance has been incorporated in  CG82. Recommendation in line with marketing authorisation.
88,TA044,2002/03,MTA,Metal on metal (MoM) hip resurfacing arthroplasty,Surgical procedure,Hip disease,Only in Research,"At the time of appraisal, it was recommended that where hip resurfacing arthroplasty is considered appropriate, the procedure should only be performed in the context of the ongoing collection of data on both the clinical effectiveness and cost-effectiveness of this technology. Ideally this data collection should form part of a UK national joint registry."
89,TA045,2002/03,MTA,Pegylated liposomal doxorubicin hydrochloride (PLDH) ,Pharmaceutical,Ovarian cancer (advanced),Recommended,Guidance has been replaced by TA91. Recommendation in line with marketing authorisation.
90,TA046,2002/03,MTA,Malabsorptive Surgery,Surgical procedure,Obesity (morbid),Recommended,Guidance has been incorporated in CG43. Recommendation in line with clinical practice.
91,TA046,2002/03,MTA,Restrictive Surgery,Surgical procedure,Obesity (morbid),Recommended,Guidance has been incorporated in CG43. Recommendation in line with clinical practice.
92,TA047,2002/03,MTA,Abciximab,Pharmaceutical,Acute coronary syndromes,Recommended,Update of guidance TA12. Recommendation in line with marketing authorisation.
93,TA047,2002/03,MTA,Eptifibitide,Pharmaceutical,Acute coronary syndromes,Recommended,Update of guidance TA12. Recommendation in line with marketing authorisation.
94,TA047,2002/03,MTA,Tirofiban,Pharmaceutical,Acute coronary syndromes,Recommended,Update of guidance TA12. Recommendation in line with marketing authorisation.
95,TA048,2002/03,MTA,Home haemodialysis,Other therapeutic therapies,Renal failure,Recommended,Recommendation in line with clinical practice.
96,TA049,2002/03,MTA,Audio-guided Doppler ultrasound guidance,Other therapeutic therapies,Central venous catheters,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
97,TA049,2002/03,MTA,Two-dimensional (2-D) imaging ultrasound guidance,Other therapeutic therapies,Central venous catheters,Optimised,Optimised recommendation for use in specific circumstances for adults and children in elective or emergency situations.  
98,TA050,2002/03,MTA,Imatinib,Pharmaceutical,Leukaemia (CML),Recommended,Guidance has been replaced by TA70. Recommendation in line with marketing authorisation.
99,TA051,2002/03,MTA,Beating the Blues  - computerised cognitive behavioural therapy (CCBT) package,Other therapeutic therapies,Depression and anxiety,Only in Research,"Guidance has been replaced by TA97. At the time of appraisal, research suggested that the delivery of cognitive behavioural therapy via a computer interface (CCBT) may be of value in the management of anxiety and depressive disorders. The evidence was, however, insufficient to recommend the general introduction of this technology into the NHS. To establish the contribution and place of CCBT in the management of anxiety and depressive disorders, including its role within ‘stepped care’ approaches, the NHS was advised to  consider supporting an independent programme of research into CCBT, including carefully monitored pilot implementation projects. "
100,TA051,2002/03,MTA,Calipso Overcoming Depression Self-Help Materials - computerised cognitive behavioural therapy (CCBT) package,Other therapeutic therapies,Depression and anxiety,Only in Research,"Guidance has been replaced by TA97. At the time of appraisal, research suggested that the delivery of cognitive behavioural therapy via a computer interface (CCBT) may be of value in the management of anxiety and depressive disorders. This evidence was, however, insufficient basis to recommend the general introduction of this technology into the NHS. To establish the contribution and place of CCBT in the management of anxiety and depressive disorders, including its role within ‘stepped care’ approaches, the NHS was advised to  consider supporting an independent programme of research into CCBT, including carefully monitored pilot implementation projects."
101,TA051,2002/03,MTA,COPE - computerised cognitive behavioural therapy (CCBT) package,Other therapeutic therapies,Depression and anxiety,Only in Research,"Guidance has been replaced by TA97. At the time of appraisal, research suggested that the delivery of cognitive behavioural therapy via a computer interface (CCBT) may be of value in the management of anxiety and depressive disorders. This evidence was, however, insufficient to recommend the general introduction of this technology into the NHS. To establish the contribution and place of CCBT in the management of anxiety and depressive disorders, including its role within ‘stepped care’ approaches, the NHS was advised to  consider supporting an independent programme of research into CCBT, including carefully monitored pilot implementation projects."
102,TA051,2002/03,MTA,FearFighter  - computerised cognitive behavioural therapy (CCBT) package,Other therapeutic therapies,Depression and anxiety,Only in Research,"Guidance has been replaced by TA97. At the time of appraisal, research suggested that the delivery of cognitive behavioural therapy via a computer interface (CCBT) may be of value in the management of anxiety and depressive disorders. This evidence was, however, insufficient to recommend the general introduction of this technology into the NHS. To establish the contribution and place of CCBT in the management of anxiety and depressive disorders, including its role within ‘stepped care’ approaches, the NHS was advised to  consider supporting an independent programme of research into CCBT, including carefully monitored pilot implementation projects."
103,TA051,2002/03,MTA,Restoring the Balance  - computerised cognitive behavioural therapy (CCBT) package,Other therapeutic therapies,Depression and anxiety,Only in Research,"Guidance has been replaced by TA97. At the time of appraisal, research suggested that the delivery of cognitive behavioural therapy via a computer interface (CCBT) may be of value in the management of anxiety and depressive disorders. This evidence was, however, insufficient to recommend the general introduction of this technology into the NHS. To establish the contribution and place of CCBT in the management of anxiety and depressive disorders, including its role within ‘stepped care’ approaches, the NHS was advised to  consider supporting an independent programme of research into CCBT, including carefully monitored pilot implementation projects."
104,TA051,2002/03,MTA,StressPac  - computerised cognitive behavioural therapy (CCBT) package,Other therapeutic therapies,Depression and anxiety,Only in Research,"Guidance has been replaced by TA97. At the time of appraisal, research suggested that the delivery of cognitive behavioural therapy via a computer interface (CCBT) may be of value in the management of anxiety and depressive disorders. This evidence was, however, insufficient to recommend the general introduction of this technology into the NHS. To establish the contribution and place of CCBT in the management of anxiety and depressive disorders, including its role within ‘stepped care’ approaches, the NHS was advised to  consider supporting an independent programme of research into CCBT, including carefully monitored pilot implementation projects."
105,TA052,2002/03,MTA,Alteplase,Pharmaceutical,Myocardial infarction,Recommended,Recommendation in line with clinical practice.
106,TA052,2002/03,MTA,Reteplase,Pharmaceutical,Myocardial infarction,Recommended,Recommendation in line with clinical practice.
107,TA052,2002/03,MTA,Streptokinase,Pharmaceutical,Myocardial infarction,Recommended,Recommendation in line with clinical practice.
108,TA052,2002/03,MTA,Tenecteplase,Pharmaceutical,Myocardial infarction,Recommended,Recommendation in line with clinical practice.
109,TA053,2002/03,MTA,Insulin glargine,Pharmaceutical,Type 1 diabetes ,Recommended,Recommendation in line with clinical practice.
110,TA053,2002/03,MTA,Insulin glargine,Pharmaceutical,Type 2 diabetes,Optimised,"Optimised recommendation for use in specific circumstances for people who require assistance with their treatment administration, or whose lifestyle is significantly restricted by recurrent symptomatic hypoglycaemic episodes, or for those who would otherwise need twice daily basal insulin injections in combination with oral anti-diabetic drugs."
111,TA054,2002/03,MTA,Vinorelbine combination therapies,Pharmaceutical,Breast cancer,Not Recommended,"Guidance has been incorporated in CG81. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
112,TA054,2002/03,MTA,Vinorelbine monotherapy,Pharmaceutical,Breast cancer,Recommended,Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
113,TA055,2002/03,MTA,Paclitaxel (1st line),Pharmaceutical,Ovarian cancer ,Recommended,Update of guidance TA3. Recommendation in line with marketing authorisation.
114,TA055,2002/03,MTA,Paclitaxel (2nd line),Pharmaceutical,Ovarian cancer ,Recommended,"Update of guidance TA3. Recommendation in line with clinical practice. In view of the limited evidence available on the clinical effectiveness of paclitaxel as a second-line treatment, the Committee concluded that paclitaxel should be considered as an option for second-line treatment only for women who do not receive it as part of their first-line therapy. For such women, it should be offered alongside other drugs that are licensed for second-lien treatment of ovarian cancer."
115,TA056,2002/03,MTA,Tension-free vaginal tape (Gynecare TVT) ,Medical device,Stress incontinence,Recommended,Guidance has been incorporated in CG40. Recommendation in line with clinical practice.
116,TA057,2002/03,MTA,Continuous subcutaneous insulin infusion (CSII or ‘insulin pump therapy'),Pharmaceutical,Type 1 diabetes,Optimised,"Guidance has been replaced by TA151. Optimised recommended for use in specific circumstances, for people whose HbA1c levels have remained high (at 8.5% or above) on MDI therapy (including, if appropriate, the use of long-acting insulin analogues) despite a high level of care. "
117,TA057,2002/03,MTA,Continuous subcutaneous insulin infusion (CSII or ‘insulin pump therapy'),Pharmaceutical,Type 2 diabetes,Not Recommended,"Guidance has been replaced by TA151. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
118,TA058,2002/03,MTA,Amantadine,Pharmaceutical,Influenza (treatment),Not Recommended,"Guidance has been replaced by TA168. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
119,TA058,2002/03,MTA,Oseltamivir,Pharmaceutical,Influenza (treatment),Recommended,Update of guidance TA15. Guidance has been replaced by TA168. Recommendation in line with national influenza guidelines.
120,TA058,2002/03,MTA,Zanamivir,Pharmaceutical,Influenza (treatment),Recommended,Update of guidance TA15. Guidance has been replaced by TA168. Recommendation in line with national influenza guidelines.
121,TA059,2003/04,MTA,Electroconvulsive therapy (ECT) ,Other therapeutic therapies,Electroconvulsive therapy (ECT) ,Optimised,"Optimised recommendation for use in specific circumstances as a last-line treatment option for those with severe depressive illness, catatonia and prolonged or severe manic episode. "
122,TA060,2003/04,MTA,Structured patient education,Health promotion activities,Diabetes (types 1 and 2),Recommended,Recommendation in line with clinical practice.
123,TA061,2003/04,MTA,Capecitabine,Pharmaceutical,Colorectal cancer,Recommended,Recommendation in line with marketing authorisation.
124,TA061,2003/04,MTA,Tegafur with uracil,Pharmaceutical,Colorectal cancer,Recommended,Recommendation in line with marketing authorisation.
125,TA062,2003/04,MTA,Capecitabine,Pharmaceutical,Breast cancer (locally advanced or metastatic),Recommended,Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
126,TA062,2003/04,MTA,"Capecitabine, plus docetaxel",Pharmaceutical,Breast cancer (locally advanced or metastatic),Recommended,Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
127,TA063,2003/04,MTA,Pioglitazone in combination with a sulphonylurea,Pharmaceutical,Type 2 diabetes,Optimised,"Update of guidance TA21. Guidance has been incorporated in CG66. Optimised recommendation for use in specific circumstances, for people with type 2 diabetes who are unable to take metformin and a sulphonylurea in combination because of intolerance or a contraindication to one of the drugs; in this instance, the glitazone should replace in the combination the drug that is poorly tolerated or contraindicated."
128,TA063,2003/04,MTA,Pioglitazone in combination with metformin,Pharmaceutical,Type 2 diabetes,Optimised,"Update of guidance TA21. Guidance has been incorporated in CG66. Optimised recommendation for use in specific circumstances for people with type 2 diabetes who are unable to take metformin and a sulphonylurea in combination because of intolerance or a contraindication to one of the drugs; in this instance, the glitazone should replace in the combination the drug that is poorly tolerated or contraindicated."
129,TA063,2003/04,MTA,Rosiglitazone in combination with a sulphonylurea,Pharmaceutical,Type 2 diabetes,Optimised,"Update of guidance TA9. Guidance has been incorporated in CG66. Optimised recommendation for use in specific circumstances for people with type 2 diabetes who are unable to take metformin and a sulphonylurea in combination because of intolerance or a contraindication to one of the drugs; in this instance, the glitazone should replace in the combination the drug that is poorly tolerated or contraindicated."
130,TA063,2003/04,MTA,Rosiglitazone in combination with metformin,Pharmaceutical,Type 2 diabetes,Optimised,"Update of guidance TA9. Guidance has been incorporated in CG66. Optimised recommendation for use in specific circumstances for people with type 2 diabetes who are unable to take metformin and a sulphonylurea in combination because of intolerance or a contraindication to one of the drugs; in this instance, the glitazone should replace in the combination the drug that is poorly tolerated or contraindicated."
